RA,DEC,Z,sSFR_0_1Gyr_best_fit,sSFR_0_1Gyr_percentile16,sSFR_0_1Gyr_percentile50,sSFR_0_1Gyr_percentile84,mass_stellar_best_fit,mass_stellar_percentile16,mass_stellar_percentile50,mass_stellar_percentile84
130.7984887,0.5669508,0.0512,0.0000000001641,-9.825,-9.675,-9.525,1208000000,8.917,9.007,9.087
131.3153591,0.5254317,0.0351,0.0000000005471,-9.625,-9.225,-9.175,261900000,8.392,8.472,8.517
131.4262705,0.6172922,0.0691,0.0000000004399,-9.675,-9.475,-9.375,626900000,8.772,8.842,8.952
131.5080053,0.4339032,0.0862,0.0000000005125,-9.575,-9.475,-9.375,1111000000,9.057,9.107,9.207
131.474504,0.5973937,0.0753,0.0000000003239,-9.925,-9.725,-9.525,2398000000,9.327,9.422,9.542
131.7439201,0.4502251,0.0521,0.0000000001973,-9.825,-9.675,-9.575,1247000000,9.047,9.112,9.212
131.9074852,0.5555138,0.0582,0.0000000001923,-10.12,-9.825,-9.725,2251000000,9.312,9.367,9.497
132.0691987,0.4812292,0.1104,0.00000000061,-9.725,-9.475,-9.225,2092000000,9.222,9.322,9.447
132.0692681,0.483223,0.1102,0.000000002973,-8.975,-8.675,-8.525,2587000000,9.102,9.197,9.412
132.3909684,0.5017981,0.091,0.0000000006542,-9.525,-9.375,-9.175,1327000000,9.102,9.167,9.242
132.6283467,0.548306,0.0669,0.0000000002956,-9.825,-9.575,-9.475,679400000,8.777,8.852,8.987
132.7162371,0.6139729,0.0602,0.0000000000282,-10.07,-9.675,-9.375,1732000000,9.112,9.237,9.447
132.9156321,0.4626939,0.0528,0.000000000003503,-11.57,-11.22,-10.92,2527000000,9.192,9.297,9.402
132.9257873,0.4873016,0.0509,0.0000000003495,-9.525,-9.425,-9.275,635500000,8.712,8.782,8.852
133.0552501,0.4700075,0.0526,0.00000000009414,-10.12,-9.925,-9.725,1155000000,8.832,8.962,9.077
133.5231395,0.5444708,0.0583,0.0000000001684,-10.12,-9.875,-9.725,664200000,8.797,8.882,8.977
133.746153,0.427211,0.0528,0.0000000000404,-10.47,-10.17,-9.825,1345000000,9.042,9.167,9.302
134.016967,0.5306836,0.0527,0.000000000188,-9.825,-9.625,-9.525,544100000,8.617,8.712,8.822
134.272052,0.4787453,0.0586,0.00000000006426,-11.32,-10.17,-9.775,852600000,8.637,8.717,8.927
134.3605704,0.496471,0.1104,0.0000000004725,-9.875,-9.525,-9.375,2303000000,9.367,9.422,9.507
134.4635576,0.556356,0.1042,0.0000000007666,-9.175,-9.075,-8.875,1610000000,9.122,9.197,9.247
