RA,DEC,Z,logmstar,dellogmstar
139.3337661,-0.4114318,0.10287,11.15,0.105848
139.4622436,-0.2783628,0.01748,10.3638,0.111536
139.4791529,-0.21984,0.13969,10.7047,0.0944471
139.5979951,-0.300398,0.05558,9.81752,0.123533
139.60489197,-0.27503773,0.0001,2.67301,0.0662828
139.6567347,-0.3159795,0.05523,10.0914,0.115032
139.6627972,-0.2473676,0.0551,9.72732,0.112379
139.6862403,-0.2145345,0.0538,9.43566,0.108944
139.692851523,-0.22138624,0.05473,9.20078,0.115223
139.7462185,-0.2164278,0.05581,11.1781,0.106035
139.8467102,-0.2133169,0.03856,9.47242,0.13432
139.7670253,-0.2243159,0.05503,9.29882,0.115834
139.8158384,-0.227323,0.13942,9.94324,0.113512
139.8843518,-0.4100299,0.03866,9.17971,0.12511
139.884953,-0.2999219,0.05418,10.1349,0.194135
139.7867411,-0.3712881,0.03869,8.87261,0.16363
139.9206423,-0.3642708,0.05487,10.3335,0.111509
139.9233884,-0.2103912,0.05612,9.36727,0.141466
139.9705338,-0.242572,0.05626,9.52094,0.140716
140.2838837,-0.2310503,0.06104,10.012,0.492202
140.3240456,-0.2271073,0.00083,5.02789,0.147773
140.3072947,-0.2304585,0.0549,10.5646,0.111356
140.372729,-0.2688666,0.02568,10.3496,0.107722
140.4531139,-0.3565694,0.14169,10.5752,0.110968
140.4592695,-0.217851,0.06916,9.69762,0.125914
140.4861958,-0.2608204,0.06922,10.3893,0.127154
140.4950544,-0.2261793,0.00004,2.20831,0.119934
140.427955,-0.3243882,0.05279,8.86587,0.133453
140.610956,-0.3402302,0.07032,10.5132,0.111604
140.6133419,-0.2549549,0.05398,9.7206,0.114492
140.6524316,-0.4090157,0.05401,11.2015,0.107909
140.6513832,-0.4067776,0.05562,10.474,0.12262
140.5334306,-0.2908723,0.14291,10.9165,0.12238
140.5553118,-0.3633951,0.05698,10.3983,0.104246
140.5960999,-0.4160694,0.05607,9.7282,0.115134
140.6027987,-0.4186875,0.05313,10.0515,0.113048
140.6081116,-0.3621075,0.05568,9.47403,0.118078
140.6215559,-0.4111551,0.05304,10.2128,0.111761
140.6430024,-0.3918365,0.05547,10.4843,0.108695
140.5733225,-0.2909243,0.14264,10.2333,0.112614
140.6197741,-0.3769846,0.0542,9.10085,0.12522
140.7130242,-0.3706397,0.05941,9.68987,0.129613
140.6625252,-0.3872795,0.05841,10.1662,0.122775
140.6612611,-0.3840223,0.05538,9.73046,0.125534
140.6733587,-0.4167713,0.05866,9.49808,0.135374
140.6814901,-0.3774775,0.05556,10.1328,0.108314
140.687239,-0.3488474,0.05826,11.094,0.110008
140.6863999,-0.3145901,0.05426,9.49798,0.138215
140.7002048,-0.310627,0.05793,9.57436,0.123986
140.7075331,-0.2745438,0.05502,9.82584,0.11742
140.7256601,-0.34797,0.05623,10.2771,0.113038
140.7407036,-0.3932264,0.05164,9.08677,0.12578
140.7464489,-0.4021563,0.05612,9.06568,0.126857
140.749818,-0.3601896,0.05459,8.88743,0.126277
140.7541164,-0.3602259,0.05689,10.009,0.110752
140.7555742,-0.3924745,0.05609,10.1793,0.399959
140.7757175,-0.3594175,0.00012,2.44166,0.106689
140.7894589,-0.4168368,0.05562,9.99334,0.105531
140.7446742,-0.2624869,0.05716,9.14089,0.141013
140.8351835,-0.3971057,0.05406,10.0677,0.114132
140.8393838,-0.3029552,0.05321,9.55746,0.118859
140.8431235,-0.2258083,0.0549,9.28582,0.133321
140.8479535,-0.4034629,0.05357,10.443,0.10628
140.8616795,-0.405869,0.13719,10.3509,0.122966
140.836869,-0.4069463,0.05215,8.83986,0.134248
129.11134739,0.10539907,0.00006,2.62701,0.176679
129.0285499,0.0127362,0.05809,9.3395,0.124587
129.1428709,0.1883916,0.13545,11.1656,0.1083
129.1912504,0.0266838,0.00031,5.1248,0.0522579
129.2298111,0.0857648,0.13718,10.1692,0.163274
129.1618896,0.169102,0.05152,9.69328,0.132048
129.16284,0.0271432,0.14844,10.0826,0.123778
129.4091068,0.0506403,0.03466,9.64555,0.128644
129.47228288,0.05427522,0.0003,4.53539,0.0539063
129.4747801,0.0484632,0.11789,9.92058,0.114634
129.5007913,0.0981383,0.08347,9.23278,0.117651
129.5057176,0.0850386,0.08415,10.4049,0.120977
129.5192543,0.081738,0.08348,10.3906,0.109262
129.5417599,0.2088611,0.07892,10.7232,0.120301
129.552717,0.107774,0.14444,10.6131,0.108057
129.5700324,0.0091141,0.10877,9.87011,0.120365
129.5593658,0.1229968,0.05149,9.92582,0.16182
129.5890047,0.1822015,0.07959,9.74348,0.110401
129.6325317,0.0124115,0.07814,10.5583,0.127076
129.6493967,0.0367451,0.0782,10.1287,0.105476
129.6447327,0.0407992,0.07764,9.41847,0.379545
129.6652761,0.0480832,0.07864,9.93394,0.108434
129.7021191,0.1915533,0.08414,9.75882,0.123686
129.7151893,0.0591012,0.02461,8.42052,0.1203
129.7151669,0.0204655,0.13034,9.78573,0.120569
129.7533634,0.062276,0.04976,10.5003,0.159743
129.778193,0.1497856,0.10949,10.2374,0.166519
129.7567946,0.0215885,0.13008,9.72523,0.123197
