ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
407,132.46551429999997,-1.5172322999999999,107200000,6.082e-10,0.0223
408,132.93651269999998,-1.3436628,1738000000,1.595e-10,0.0479
409,135.3628662,-1.4400375,1091000000,1.275e-11,0.0405
41,130.8310948,0.20596940000000002,612900000,2.561e-10,0.0505
410,136.3546448,-1.4790499000000001,185000000,3.583e-09,0.0698
411,136.51676539999997,-1.5591655,279200000,6.366e-10,0.0471
412,136.53869319999998,-1.501388,2142000000,2.709e-10,0.1
413,137.3021808,-1.5517244000000001,1300000000,1.787e-10,0.055
414,138.58473749999996,-1.5770583,1737000000,1.433e-10,0.0466
415,138.71418169999995,-1.6077643000000001,1452000000,5.161e-10,0.0708
416,129.2193705,-0.854312,1778000000,2.257e-10,0.0793
417,130.39820619999998,-0.8480616000000001,1532000000,2.73e-10,0.0577
418,134.2875595,-0.9747002,25130000,2.696e-10,0.0092
419,135.9113085,-1.1278672,609900000,4.691e-10,0.0404
42,131.6441529,0.015386200000000001,2793000000,2.053e-10,0.0994
420,136.66068309999997,-1.0803246,1032000000,1.346e-09,0.0456
421,139.5810897,-1.2909381999999998,1003000000,7.199e-10,0.0656
422,135.8918798,0.6051542999999999,311200000,4.01e-12,0.0188
423,136.8468471,0.5659993000000001,2123000000,3.189e-12,0.0407
43,132.6436034,0.020881,1488000000,4.301e-10,0.0766
44,132.81062519999998,0.18693579999999999,240400000,3.497e-10,0.0251
45,132.8536117,0.0246103,1220000000,4.598e-10,0.0529
46,135.2860204,0.2090739,509000000,3.716e-10,0.0522
47,135.59543389999996,0.039224999999999996,486500000,1.236e-09,0.0406
48,136.1796464,0.1647682,1988000000,3.609e-10,0.1019
49,139.80976769999998,0.1393945,2110000000,6.1e-10,0.0693
5,134.98645849999997,-0.7161040999999999,2783000000,4.245e-10,0.1208
50,139.8114845,0.10502560000000001,2686000000,2.254e-11,0.0555
51,139.8982409,0.001192,1699000000,4.149e-10,0.0671
52,140.28614079999997,0.080609,141000000,9.62e-11,0.0235
53,129.57286969999998,0.4391434,2743000000,8.423e-11,0.0807
54,130.2126515,0.5180593,1715000000,1.075e-10,0.0583
55,130.53828449999997,0.4257863,2481000000,3.484e-10,0.0782
56,132.39096839999996,0.5017981,1327000000,6.542e-10,0.091
57,132.6283467,0.548306,679400000,2.956e-10,0.0669
58,132.7162371,0.6139728999999999,1732000000,2.82e-11,0.0602
59,133.0552501,0.4700075,1155000000,9.414e-11,0.0526
6,135.05932829999998,-0.7816189,1839000000,2.387e-10,0.082
60,133.52313949999998,0.5444708,664200000,1.684e-10,0.0583
61,133.746153,0.427211,1345000000,4.04e-11,0.0528
62,134.016967,0.5306836,544100000,1.88e-10,0.0527
63,134.66489099999998,0.42472780000000004,206500000,4.373e-10,0.0406
64,134.94340469999997,0.582879,96860000,5.629e-11,0.0112
65,135.033754,0.5721821,707900000,1.464e-10,0.0584
66,135.4382679,0.5218478000000001,2333000000,1.72e-11,0.0185
67,136.6026647,0.5735617,783500000,2.662e-10,0.0533
68,136.87600759999998,0.5222735000000001,91990000,8.876e-10,0.0273
69,136.92603789999998,0.611166,2598000000,2.722e-10,0.0955
7,135.3158346,-0.7345320999999999,1796000000,9.423e-10,0.1144
70,137.0335868,0.5921715000000001,876600000,1.239e-10,0.0538
71,137.29425319999999,0.501073,2181000000,5.443e-10,0.0936
72,137.47209859999998,0.42491680000000004,2291000000,3.163e-10,0.0539
73,139.2176294,0.520514,282500000,3.008e-09,0.057
74,139.9796362,0.8598369,1232000000,3.204e-10,0.0586
75,139.99154589999998,0.8457297,277900000,3.033e-11,0.0174
76,140.2117109,0.8444924,907100000,5.271e-10,0.0805
77,130.54299869999997,0.7616537,400900000,3.71e-10,0.0423
78,132.44854169999996,0.8038903000000001,1940000000,2.855e-10,0.0875
79,133.131039,0.8535211,92300000,1.67e-10,0.0108
8,135.9769244,-0.7258793,2290000000,5.125e-10,0.1028
80,133.9445467,0.8015862,1850000000,4.737e-11,0.0413
81,134.47747979999997,0.8331512999999999,1811000000,8.266e-10,0.1041
82,135.4614932,0.9421014,483700000,1.107e-09,0.0582
83,135.7808994,0.8582367,64400000,2.992e-10,0.0128
84,135.942243,0.8930258999999999,983200000,4.854e-10,0.0535
85,136.02942989999997,0.8270414,2408000000,4.044e-10,0.0964
86,136.20939299999998,0.9452907,832100000,6.545e-10,0.0769
87,136.81633989999997,0.9568721,224300000,3.621e-09,0.0686
88,138.17807749999997,1.0241928,2252000000,9.916e-11,0.0521
89,138.52035809999998,0.8996579,1825000000,1.339e-10,0.0686
9,139.822035,-0.8067636,1371000000,8.902e-09,0.076
90,139.2397372,0.9774371000000001,328700000,8.801e-10,0.0522
91,139.5063936,0.9591274,2144000000,2.762e-10,0.0805
92,139.7933171,1.0554495000000002,765200000,6.655e-13,0.0182
93,139.9942977,1.0761998,2558000000,3.212e-10,0.088
94,140.0240264,1.0775151,2763000000,1.53e-10,0.0866
95,140.01535739999997,1.0803189,2264000000,3.478e-10,0.0872
96,129.1676248,1.1655799,1835000000,2.662e-10,0.093
97,130.4321482,1.0472704000000002,2445000000,3.185e-10,0.0975
98,131.03722269999997,1.2143032999999999,582500000,3.979e-10,0.0132
99,131.09269529999997,1.1608538,9341000,1.216e-10,0.0066
