ind,ra,dec,mass_stellar_best_fit,sSFR_best_fit,z
337,131.3767948,-1.8348636,1006000000,8.649e-11,0.0849
338,131.39526729999997,-1.8315527,1470000000,7.08e-14,0.0562
339,132.0931395,-1.8407912000000002,2256000000,3.202e-11,0.1312
34,131.9074852,0.5555138000000001,2251000000,1.923e-10,0.0582
340,133.1479124,-1.9401562,2388000000,5.169e-10,0.136
341,134.2500203,-1.9213529999999999,330300000,2.437e-10,0.0247
342,134.95558729999996,-1.9988712,563600000,1.211e-09,0.0536
343,135.201786,-1.8990803,2551000000,2.789e-10,0.0898
344,136.2332788,-1.9965585000000001,2377000000,6.409e-10,0.0964
345,137.91910059999998,-1.9838325,2855000000,3.591e-10,0.1029
346,129.45345329999998,-1.3909666,838000000,7.171e-10,0.1024
347,130.1485616,-1.3187338,36460000,3.978e-10,0.0142
348,130.2086751,-1.4210449,818800000,1.166e-11,0.0474
349,131.13737449499996,-1.2680648399999999,50940000,2.915e-11,0.0338
35,132.0691987,0.4812292,2092000000,6.1e-10,0.1104
350,131.4671565,-1.3569251,760800000,1.734e-10,0.0598
351,134.7140559,-1.5041564,1988000000,2.426e-10,0.0222
352,137.61273889999998,-1.5910181,2807000000,1.438e-10,0.0886
353,138.66470339999995,-1.6249796,1605000000,8.342e-12,0.055
354,129.3392232,-0.8608517,2859000000,4.315e-10,0.1285
355,130.1005648,-0.8921886,2442000000,1.266e-09,0.128
356,131.80342929999998,-0.9498404,2149000000,2.838e-10,0.1081
357,133.4934791,-0.9792559,1495000000,5.416e-10,0.061
358,133.69812789999997,-1.0477634,2162000000,5.796e-11,0.0686
359,133.95487429999997,-1.0182588,839400000,2.758e-10,0.071
36,132.06926810000002,0.483223,2587000000,2.973e-09,0.1102
360,134.5717092,-1.144002,606500000,5.915e-10,0.0594
361,137.40619169999997,-1.1536718,35710000,1.911e-09,0.012
362,138.26268489999998,-1.1144196000000002,2869000000,1.432e-09,0.1306
363,139.5361446,-1.1747016000000001,2375000000,5.234e-12,0.0746
364,139.97701139999998,-1.2723206999999999,130100000,5.157e-09,0.026
